dataset,method,latent_dimensions,ami,ari,silhouette_score,reduction_time_seconds,source_commit
Deng,PCA,100,0.33220674936299915,0.11526364894504199,0.3051357,1.1646931171417236,51779b1
Deng,t-SNE,100,0.33920286564368685,0.2253394728891951,0.12752055,17.775462865829468,51779b1
Deng,UMAP,100,0.6943797078894774,0.7652220072393247,0.68400085,1.339308261871338,51779b1
Deng,VAE,100,0.3741452812171713,0.23753931838326972,0.04142906,13.180485486984253,51779b1
PBMC68k filtered/HVG subset,PCA,50,0.4356397527015242,0.5383188383315484,0.06594244386247805,0.9348247051239014,51779b1
PBMC68k filtered/HVG subset,t-SNE,50,0.07017608779836053,0.02336152073493953,0.04866736,426.2895085811615,51779b1
PBMC68k filtered/HVG subset,UMAP,50,0.021613148194830095,0.00650387666552886,0.1974503,9.514284133911133,51779b1
PBMC68k filtered/HVG subset,VAE,50,0.23570393011168686,0.07065856248490338,0.02241092,30.922431468963623,51779b1
Chu H1/H9 subset,PCA,100,0.00799658653673257,0.0194334129966733,0.37948543,1.4812266826629639,51779b1
Chu H1/H9 subset,t-SNE,100,0.07594039463923412,0.10403026840496381,0.30763564,12.533068656921387,51779b1
Chu H1/H9 subset,UMAP,100,0.10397748332725543,0.06668503991552853,0.43452656,1.5439190864562988,51779b1
Chu H1/H9 subset,VAE,100,0.05380231244946865,0.08076732981313856,0.18875182,12.451707601547241,51779b1
